"Type","Group","Class","Count","Template","Sample1","Sample2","Sample3"
"TITLE_TEMPLATE","11","업체상세","116","loc x x 가격 코스 연락 안내 brand","shops/seoul/gangnam-gu/도곡동/love테라피/index.html || 강남구 도곡동 love테라피 | 가격·코스·연락 안내 | 몽라운지","shops/seoul/gangnam-gu/압구정동/너무이쁜테라피/index.html || 강남구 압구정동 너무이쁜테라피 | 가격·코스·연락 안내 | 몽라운지","shops/seoul/gangdong-gu/천호동/한국미인테라피/index.html || 강동구 천호동 한국미인테라피 | 가격·코스·연락 안내 | 몽라운지"
"TITLE_TEMPLATE","12","업체상세","114","x loc x 안내 전화 문자 가격 정보 brand","shops/seoul/gangseo-gu/우장산동/love테라피/index.html || love테라피 강서구 우장산동 안내 | 전화·문자·가격 정보 | 몽라운지","shops/seoul/gwanak-gu/남현동/너무이쁜테라피/index.html || 너무이쁜테라피 관악구 남현동 안내 | 전화·문자·가격 정보 | 몽라운지","shops/seoul/gwanak-gu/서림동/한국미인테라피/index.html || 한국미인테라피 관악구 서림동 안내 | 전화·문자·가격 정보 | 몽라운지"
"TITLE_TEMPLATE","13","업체상세","112","loc x x 영업시간과 코스 구성 brand","shops/seoul/gangnam-gu/개포동/한국미인테라피/index.html || 강남구 개포동 한국미인테라피 | 영업시간과 코스 구성 | 몽라운지","shops/seoul/gangnam-gu/논현동/프리미엄테라피/index.html || 강남구 논현동 프리미엄테라피 | 영업시간과 코스 구성 | 몽라운지","shops/seoul/gangnam-gu/일원동/love테라피/index.html || 강남구 일원동 love테라피 | 영업시간과 코스 구성 | 몽라운지"
"TITLE_TEMPLATE","14","업체상세","109","x loc x 코스와 영업시간 안내 brand","shops/seoul/gangnam-gu/수서동/한국미인테라피/index.html || 한국미인테라피 | 강남구 수서동 코스와 영업시간 안내 | 몽라운지","shops/seoul/gangnam-gu/일원본동/한국미인테라피/index.html || 한국미인테라피 | 강남구 일원본동 코스와 영업시간 안내 | 몽라운지","shops/seoul/gangdong-gu/강일동/마인드좋은테라피/index.html || 마인드좋은테라피 | 강동구 강일동 코스와 영업시간 안내 | 몽라운지"
"TITLE_TEMPLATE","15","업체상세","108","x loc x kw 코스 가격 안내 brand","shops/seoul/gangnam-gu/역삼동/프리미엄테라피/index.html || 프리미엄테라피 강남구 역삼동 출장마사지 | 코스·가격 안내 | 몽라운지","shops/seoul/gangnam-gu/신사동/love테라피/index.html || love테라피 강남구 신사동 출장마사지 | 코스·가격 안내 | 몽라운지","shops/seoul/gangbuk-gu/삼양동/너무이쁜테라피/index.html || 너무이쁜테라피 강북구 삼양동 출장마사지 | 코스·가격 안내 | 몽라운지"
"TITLE_TEMPLATE","16","업체상세","105","x 이용정보 loc x 코스 가격 문의 brand","shops/seoul/gangdong-gu/고덕동/너무이쁜테라피/index.html || 너무이쁜테라피 이용정보 | 강동구 고덕동 코스·가격·문의 | 몽라운지","shops/seoul/gangdong-gu/길동/프리미엄테라피/index.html || 프리미엄테라피 이용정보 | 강동구 길동 코스·가격·문의 | 몽라운지","shops/seoul/gangdong-gu/둔촌동/love테라피/index.html || love테라피 이용정보 | 강동구 둔촌동 코스·가격·문의 | 몽라운지"
"TITLE_TEMPLATE","17","업체상세","104","loc x 에서 보는 x 영업시간 연락 안내 brand","shops/seoul/gangnam-gu/대치동/love테라피/index.html || 강남구 대치동에서 보는 love테라피 | 영업시간·연락 안내 | 몽라운지","shops/seoul/gangnam-gu/세곡동/프리미엄테라피/index.html || 강남구 세곡동에서 보는 프리미엄테라피 | 영업시간·연락 안내 | 몽라운지","shops/seoul/gangnam-gu/일원본동/love테라피/index.html || 강남구 일원본동에서 보는 love테라피 | 영업시간·연락 안내 | 몽라운지"
"TITLE_TEMPLATE","18","업체상세","103","loc x 지역 x 운영시간 이용정보 brand","shops/seoul/gangnam-gu/세곡동/love테라피/index.html || 강남구 세곡동 지역 love테라피 | 운영시간·이용정보 | 몽라운지","shops/seoul/gangnam-gu/청담동/너무이쁜테라피/index.html || 강남구 청담동 지역 너무이쁜테라피 | 운영시간·이용정보 | 몽라운지","shops/seoul/gangdong-gu/강일동/한국미인테라피/index.html || 강동구 강일동 지역 한국미인테라피 | 운영시간·이용정보 | 몽라운지"
"TITLE_TEMPLATE","19","업체상세","102","loc x x 가격 운영시간 문의 정보 brand","shops/seoul/gangnam-gu/삼성동/너무이쁜테라피/index.html || 강남구 삼성동 너무이쁜테라피 | 가격·운영시간·문의 정보 | 몽라운지","shops/seoul/gangdong-gu/길동/너무이쁜테라피/index.html || 강동구 길동 너무이쁜테라피 | 가격·운영시간·문의 정보 | 몽라운지","shops/seoul/gangdong-gu/길동/마인드좋은테라피/index.html || 강동구 길동 마인드좋은테라피 | 가격·운영시간·문의 정보 | 몽라운지"
"TITLE_TEMPLATE","20","업체상세","101","loc x x 상세 안내 운영시간 문의 brand","shops/seoul/gangnam-gu/대치동/프리미엄테라피/index.html || 강남구 대치동 프리미엄테라피 상세 안내 | 운영시간·문의 | 몽라운지","shops/seoul/gangnam-gu/수서동/프리미엄테라피/index.html || 강남구 수서동 프리미엄테라피 상세 안내 | 운영시간·문의 | 몽라운지","shops/seoul/gangbuk-gu/삼각산동/프리미엄테라피/index.html || 강북구 삼각산동 프리미엄테라피 상세 안내 | 운영시간·문의 | 몽라운지"
"TITLE_TEMPLATE","21","업체상세","100","x 코스 안내 loc x 가격 영업시간 brand","shops/seoul/gangnam-gu/논현동/한국미인테라피/index.html || 한국미인테라피 코스 안내 | 강남구 논현동 가격·영업시간 | 몽라운지","shops/seoul/gangnam-gu/압구정동/love테라피/index.html || love테라피 코스 안내 | 강남구 압구정동 가격·영업시간 | 몽라운지","shops/seoul/gangnam-gu/일원동/한국미인테라피/index.html || 한국미인테라피 코스 안내 | 강남구 일원동 가격·영업시간 | 몽라운지"
"TITLE_TEMPLATE","22","업체상세","99","x loc x 코스 구성과 이용정보 brand","shops/seoul/gangnam-gu/개포동/프리미엄테라피/index.html || 프리미엄테라피 | 강남구 개포동 코스 구성과 이용정보 | 몽라운지","shops/seoul/gangnam-gu/도곡동/한국미인테라피/index.html || 한국미인테라피 | 강남구 도곡동 코스 구성과 이용정보 | 몽라운지","shops/seoul/gangnam-gu/청담동/한국미인테라피/index.html || 한국미인테라피 | 강남구 청담동 코스 구성과 이용정보 | 몽라운지"
"TITLE_TEMPLATE","23","업체상세","94","x 운영정보 loc x 가격 문의 방법 brand","shops/seoul/gangnam-gu/일원동/프리미엄테라피/index.html || 프리미엄테라피 운영정보 | 강남구 일원동 가격·문의 방법 | 몽라운지","shops/seoul/gangbuk-gu/미아동/한국미인테라피/index.html || 한국미인테라피 운영정보 | 강북구 미아동 가격·문의 방법 | 몽라운지","shops/seoul/gangbuk-gu/번동/너무이쁜테라피/index.html || 너무이쁜테라피 운영정보 | 강북구 번동 가격·문의 방법 | 몽라운지"
"TITLE_TEMPLATE","24","업체상세","88","x loc x 코스시간 가격 확인 brand","shops/seoul/gangnam-gu/압구정동/프리미엄테라피/index.html || 프리미엄테라피 강남구 압구정동 | 코스시간·가격 확인 | 몽라운지","shops/seoul/gangnam-gu/일원본동/너무이쁜테라피/index.html || 너무이쁜테라피 강남구 일원본동 | 코스시간·가격 확인 | 몽라운지","shops/seoul/gangdong-gu/강일동/너무이쁜테라피/index.html || 너무이쁜테라피 강동구 강일동 | 코스시간·가격 확인 | 몽라운지"
"TITLE_TEMPLATE","25","기타","69","loc 상세페이지 loc brand","gapyeong/index.html || 가평군 상세페이지 이동 | 몽라운지","mapo-gu/index.html || 마포구 상세페이지 이동 | 몽라운지","dobong-gu/index.html || 도봉구 상세페이지 이동 | 몽라운지"
"TITLE_TEMPLATE","26","업체상세","39","x 코스 안내 loc loc x 가격 영업시간 brand","shops/gyeonggi/goyang/deogyang-gu/관산동/love테라피/index.html || love테라피 코스 안내 | 고양시-덕양구 관산동 가격·영업시간 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/성사동/프리미엄테라피/index.html || 프리미엄테라피 코스 안내 | 고양시-덕양구 성사동 가격·영업시간 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/고봉동/너무이쁜테라피/index.html || 너무이쁜테라피 코스 안내 | 고양시-일산동구 고봉동 가격·영업시간 | 몽라운지"
"TITLE_TEMPLATE","27","업체상세","38","loc loc x x 코스별 시간 가격 안내 brand","shops/gyeonggi/goyang/deogyang-gu/창릉동/프리미엄테라피/index.html || 고양시-덕양구 창릉동 프리미엄테라피 | 코스별 시간·가격 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/화정동/너무이쁜테라피/index.html || 고양시-덕양구 화정동 너무이쁜테라피 | 코스별 시간·가격 안내 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/장항동/love테라피/index.html || 고양시-일산동구 장항동 love테라피 | 코스별 시간·가격 안내 | 몽라운지"
"TITLE_TEMPLATE","28","업체상세","37","loc loc x x 가격 운영시간 문의 정보 brand","shops/gyeonggi/goyang/deogyang-gu/관산동/너무이쁜테라피/index.html || 고양시-덕양구 관산동 너무이쁜테라피 | 가격·운영시간·문의 정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/주교동/love테라피/index.html || 고양시-덕양구 주교동 love테라피 | 가격·운영시간·문의 정보 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/일산동/한국미인테라피/index.html || 고양시-일산서구 일산동 한국미인테라피 | 가격·운영시간·문의 정보 | 몽라운지"
"TITLE_TEMPLATE","29","업체상세","37","x loc loc x 코스와 영업시간 안내 brand","shops/gyeonggi/goyang/deogyang-gu/삼송동/프리미엄테라피/index.html || 프리미엄테라피 | 고양시-덕양구 삼송동 코스와 영업시간 안내 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/중산동/프리미엄테라피/index.html || 프리미엄테라피 | 고양시-일산동구 중산동 코스와 영업시간 안내 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/대화동/love테라피/index.html || love테라피 | 고양시-일산서구 대화동 코스와 영업시간 안내 | 몽라운지"
"TITLE_TEMPLATE","30","업체상세","36","x loc loc x 코스 구성과 이용정보 brand","shops/gyeonggi/goyang/deogyang-gu/화전동/한국미인테라피/index.html || 한국미인테라피 | 고양시-덕양구 화전동 코스 구성과 이용정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/흥도동/프리미엄테라피/index.html || 프리미엄테라피 | 고양시-덕양구 흥도동 코스 구성과 이용정보 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/식사동/한국미인테라피/index.html || 한국미인테라피 | 고양시-일산동구 식사동 코스 구성과 이용정보 | 몽라운지"
"TITLE_TEMPLATE","31","업체상세","35","x 운영정보 loc loc x 가격 문의 방법 brand","shops/gyeonggi/goyang/deogyang-gu/고양동/love테라피/index.html || love테라피 운영정보 | 고양시-덕양구 고양동 가격·문의 방법 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/성사동/한국미인테라피/index.html || 한국미인테라피 운영정보 | 고양시-덕양구 성사동 가격·문의 방법 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/원신동/너무이쁜테라피/index.html || 너무이쁜테라피 운영정보 | 고양시-덕양구 원신동 가격·문의 방법 | 몽라운지"
"TITLE_TEMPLATE","32","업체상세","35","loc loc x 에서 확인하는 x 코스 가격 안내 brand","shops/gyeonggi/goyang/ilsandong-gu/장항동/프리미엄테라피/index.html || 고양시-일산동구 장항동에서 확인하는 프리미엄테라피 | 코스·가격 안내 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/정발산동/한국미인테라피/index.html || 고양시-일산동구 정발산동에서 확인하는 한국미인테라피 | 코스·가격 안내 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/가좌동/너무이쁜테라피/index.html || 고양시-일산서구 가좌동에서 확인하는 너무이쁜테라피 | 코스·가격 안내 | 몽라운지"
"TITLE_TEMPLATE","33","업체상세","35","loc loc x 에서 보는 x 영업시간 연락 안내 brand","shops/gyeonggi/goyang/deogyang-gu/대덕동/love테라피/index.html || 고양시-덕양구 대덕동에서 보는 love테라피 | 영업시간·연락 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/행신동/너무이쁜테라피/index.html || 고양시-덕양구 행신동에서 보는 너무이쁜테라피 | 영업시간·연락 안내 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/장항동/한국미인테라피/index.html || 고양시-일산동구 장항동에서 보는 한국미인테라피 | 영업시간·연락 안내 | 몽라운지"
"TITLE_TEMPLATE","34","업체상세","35","x loc loc x 이용정보 가격 전화 문자 문의 brand","shops/gyeonggi/goyang/deogyang-gu/행주동/love테라피/index.html || love테라피 고양시-덕양구 행주동 이용정보 | 가격·전화·문자 문의 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/고봉동/한국미인테라피/index.html || 한국미인테라피 고양시-일산동구 고봉동 이용정보 | 가격·전화·문자 문의 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/일산동/love테라피/index.html || love테라피 고양시-일산서구 일산동 이용정보 | 가격·전화·문자 문의 | 몽라운지"
"TITLE_TEMPLATE","35","업체상세","34","x 이용 안내 loc loc x 운영시간 코스 정보 brand","shops/gyeonggi/goyang/deogyang-gu/삼송동/love테라피/index.html || love테라피 이용 안내 | 고양시-덕양구 삼송동 운영시간·코스 정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/화정동/한국미인테라피/index.html || 한국미인테라피 이용 안내 | 고양시-덕양구 화정동 운영시간·코스 정보 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/마두동/너무이쁜테라피/index.html || 너무이쁜테라피 이용 안내 | 고양시-일산동구 마두동 운영시간·코스 정보 | 몽라운지"
"TITLE_TEMPLATE","36","업체상세","34","x loc loc x 코스시간 가격 확인 brand","shops/gyeonggi/goyang/deogyang-gu/삼송동/너무이쁜테라피/index.html || 너무이쁜테라피 고양시-덕양구 삼송동 | 코스시간·가격 확인 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/행신동/love테라피/index.html || love테라피 고양시-덕양구 행신동 | 코스시간·가격 확인 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/화전동/love테라피/index.html || love테라피 고양시-덕양구 화전동 | 코스시간·가격 확인 | 몽라운지"
"TITLE_TEMPLATE","37","업체상세","34","x loc loc x 안내 전화 문자 가격 정보 brand","shops/gyeonggi/goyang/deogyang-gu/대덕동/한국미인테라피/index.html || 한국미인테라피 고양시-덕양구 대덕동 안내 | 전화·문자·가격 정보 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/백석동/프리미엄테라피/index.html || 프리미엄테라피 고양시-일산동구 백석동 안내 | 전화·문자·가격 정보 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/장항동/너무이쁜테라피/index.html || 너무이쁜테라피 고양시-일산동구 장항동 안내 | 전화·문자·가격 정보 | 몽라운지"
"TITLE_TEMPLATE","38","업체상세","33","loc loc x 기준 x 코스 운영시간 안내 brand","shops/gyeonggi/goyang/deogyang-gu/고양동/프리미엄테라피/index.html || 고양시-덕양구 고양동 기준 프리미엄테라피 | 코스·운영시간 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/삼송동/한국미인테라피/index.html || 고양시-덕양구 삼송동 기준 한국미인테라피 | 코스·운영시간 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/주교동/프리미엄테라피/index.html || 고양시-덕양구 주교동 기준 프리미엄테라피 | 코스·운영시간 안내 | 몽라운지"
"TITLE_TEMPLATE","39","업체상세","33","loc loc x x 가격 코스 연락 안내 brand","shops/gyeonggi/goyang/deogyang-gu/관산동/한국미인테라피/index.html || 고양시-덕양구 관산동 한국미인테라피 | 가격·코스·연락 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/능곡동/너무이쁜테라피/index.html || 고양시-덕양구 능곡동 너무이쁜테라피 | 가격·코스·연락 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/원신동/한국미인테라피/index.html || 고양시-덕양구 원신동 한국미인테라피 | 가격·코스·연락 안내 | 몽라운지"
"TITLE_TEMPLATE","40","업체상세","33","loc loc x 지역 x 운영시간 이용정보 brand","shops/gyeonggi/goyang/deogyang-gu/능곡동/한국미인테라피/index.html || 고양시-덕양구 능곡동 지역 한국미인테라피 | 운영시간·이용정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/능곡동/love테라피/index.html || 고양시-덕양구 능곡동 지역 love테라피 | 운영시간·이용정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/행주동/너무이쁜테라피/index.html || 고양시-덕양구 행주동 지역 너무이쁜테라피 | 운영시간·이용정보 | 몽라운지"
"TITLE_TEMPLATE","41","업체상세","32","x loc loc x kw 코스 가격 안내 brand","shops/gyeonggi/goyang/deogyang-gu/대덕동/프리미엄테라피/index.html || 프리미엄테라피 고양시-덕양구 대덕동 출장마사지 | 코스·가격 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/행주동/프리미엄테라피/index.html || 프리미엄테라피 고양시-덕양구 행주동 출장마사지 | 코스·가격 안내 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/화정동/love테라피/index.html || love테라피 고양시-덕양구 화정동 출장마사지 | 코스·가격 안내 | 몽라운지"
"TITLE_TEMPLATE","42","업체상세","32","loc loc x x 영업시간과 코스 구성 brand","shops/gyeonggi/goyang/deogyang-gu/대덕동/너무이쁜테라피/index.html || 고양시-덕양구 대덕동 너무이쁜테라피 | 영업시간과 코스 구성 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/성사동/너무이쁜테라피/index.html || 고양시-덕양구 성사동 너무이쁜테라피 | 영업시간과 코스 구성 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/주교동/한국미인테라피/index.html || 고양시-덕양구 주교동 한국미인테라피 | 영업시간과 코스 구성 | 몽라운지"
"TITLE_TEMPLATE","43","업체상세","31","loc loc x x 코스 가격 운영정보 brand","shops/gyeonggi/goyang/deogyang-gu/능곡동/프리미엄테라피/index.html || 고양시-덕양구 능곡동 프리미엄테라피 | 코스·가격·운영정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/화정동/프리미엄테라피/index.html || 고양시-덕양구 화정동 프리미엄테라피 | 코스·가격·운영정보 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/풍산동/love테라피/index.html || 고양시-일산동구 풍산동 love테라피 | 코스·가격·운영정보 | 몽라운지"
"TITLE_TEMPLATE","44","업체상세","30","loc loc x x 상세 안내 운영시간 문의 brand","shops/gyeonggi/goyang/deogyang-gu/효자동/한국미인테라피/index.html || 고양시-덕양구 효자동 한국미인테라피 상세 안내 | 운영시간·문의 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/가좌동/한국미인테라피/index.html || 고양시-일산서구 가좌동 한국미인테라피 상세 안내 | 운영시간·문의 | 몽라운지","shops/gyeonggi/bucheon/wonmi-gu/원미동/한국미인테라피/index.html || 부천시-원미구 원미동 한국미인테라피 상세 안내 | 운영시간·문의 | 몽라운지"
"TITLE_TEMPLATE","45","업체상세","30","loc loc x x 이용 가이드 코스 연락 방법 brand","shops/gyeonggi/goyang/deogyang-gu/고양동/너무이쁜테라피/index.html || 고양시-덕양구 고양동 너무이쁜테라피 이용 가이드 | 코스·연락 방법 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/중산동/love테라피/index.html || 고양시-일산동구 중산동 love테라피 이용 가이드 | 코스·연락 방법 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/탄현동/love테라피/index.html || 고양시-일산서구 탄현동 love테라피 이용 가이드 | 코스·연락 방법 | 몽라운지"
"TITLE_TEMPLATE","46","업체상세","29","x loc loc x 이용 전 확인정보 brand","shops/gyeonggi/goyang/deogyang-gu/고양동/한국미인테라피/index.html || 한국미인테라피 | 고양시-덕양구 고양동 이용 전 확인정보 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/행신동/한국미인테라피/index.html || 한국미인테라피 | 고양시-덕양구 행신동 이용 전 확인정보 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/식사동/프리미엄테라피/index.html || 프리미엄테라피 | 고양시-일산동구 식사동 이용 전 확인정보 | 몽라운지"
"TITLE_TEMPLATE","47","업체상세","29","loc loc x kw x 영업시간 문의 brand","shops/gyeonggi/goyang/deogyang-gu/창릉동/너무이쁜테라피/index.html || 고양시-덕양구 창릉동 출장마사지 너무이쁜테라피 | 영업시간·문의 | 몽라운지","shops/gyeonggi/goyang/ilsanseo-gu/덕이동/love테라피/index.html || 고양시-일산서구 덕이동 출장마사지 love테라피 | 영업시간·문의 | 몽라운지","shops/gyeonggi/bucheon/sosa-gu/옥길동/너무이쁜테라피/index.html || 부천시-소사구 옥길동 출장마사지 너무이쁜테라피 | 영업시간·문의 | 몽라운지"
"TITLE_TEMPLATE","48","업체상세","28","x 이용정보 loc loc x 코스 가격 문의 brand","shops/gyeonggi/goyang/deogyang-gu/창릉동/한국미인테라피/index.html || 한국미인테라피 이용정보 | 고양시-덕양구 창릉동 코스·가격·문의 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/효자동/너무이쁜테라피/index.html || 너무이쁜테라피 이용정보 | 고양시-덕양구 효자동 코스·가격·문의 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/흥도동/한국미인테라피/index.html || 한국미인테라피 이용정보 | 고양시-덕양구 흥도동 코스·가격·문의 | 몽라운지"
"TITLE_TEMPLATE","49","업체상세","27","x 상세정보 loc loc x 코스와 이용시간 brand","shops/gyeonggi/goyang/deogyang-gu/관산동/프리미엄테라피/index.html || 프리미엄테라피 상세정보 | 고양시-덕양구 관산동 코스와 이용시간 | 몽라운지","shops/gyeonggi/goyang/deogyang-gu/성사동/love테라피/index.html || love테라피 상세정보 | 고양시-덕양구 성사동 코스와 이용시간 | 몽라운지","shops/gyeonggi/goyang/ilsandong-gu/마두동/프리미엄테라피/index.html || 프리미엄테라피 상세정보 | 고양시-일산동구 마두동 코스와 이용시간 | 몽라운지"
