"Type","Group","Class","Count","Template","Sample1","Sample2","Sample3"
"TITLE_TEMPLATE","19","업체상세","28","x 익산 x 이용 안내","shops/other/iksan/금마면/상큼테라피/index.html || 상큼테라피 | 익산 금마면 이용 안내","shops/other/iksan/남중동/상큼테라피/index.html || 상큼테라피 | 익산 남중동 이용 안내","shops/other/iksan/낭산면/상큼테라피/index.html || 상큼테라피 | 익산 낭산면 이용 안내"
"TITLE_TEMPLATE","20","지역SEO","26","loc kw x 생활권 인접 지역 안내 brand","massage/신둔면-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 신둔면 출장마사지 | 이천시 생활권·인접 지역 안내 | 몽라운지","massage/호법면-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 호법면 출장마사지 | 이천시 생활권·인접 지역 안내 | 몽라운지","massage/적성면-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 적성면 출장마사지 | 파주시 생활권·인접 지역 안내 | 몽라운지"
"TITLE_TEMPLATE","21","지역SEO","26","x loc 지역 안내 kw 이용 범위 생활권 정보 brand","massage/백사면-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 이천시 백사면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지","massage/부발읍-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 이천시 부발읍 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지","massage/장단면-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 파주시 장단면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지"
"TITLE_TEMPLATE","22","지역SEO","25","loc 지역 이용 정보 x 생활권 위치 안내 brand","massage/광탄면-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 광탄면 지역 이용 정보 | 파주시 생활권·위치 안내 | 몽라운지","massage/문산읍-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 문산읍 지역 이용 정보 | 파주시 생활권·위치 안내 | 몽라운지","massage/법원읍-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 법원읍 지역 이용 정보 | 파주시 생활권·위치 안내 | 몽라운지"
"TITLE_TEMPLATE","23","업체상세","24","x 아산 x 이용 안내","shops/other/asan/도고면/한국미인테라피/index.html || 한국미인테라피 | 아산 도고면 이용 안내","shops/other/asan/도고면/love테라피/index.html || love테라피 | 아산 도고면 이용 안내","shops/other/asan/둔포면/한국미인테라피/index.html || 한국미인테라피 | 아산 둔포면 이용 안내"
"TITLE_TEMPLATE","24","지역SEO","23","x 지역 이용 정보 x 생활권 위치 안내 brand","massage/율면-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 율면 지역 이용 정보 | 이천시 생활권·위치 안내 | 몽라운지","massage/두마면-출장마사지-계룡-생활권-지역정보-이용안내/index.html || 두마면 지역 이용 정보 | 계룡 생활권·위치 안내 | 몽라운지","massage/신도안면-출장마사지-계룡-생활권-지역정보-이용안내/index.html || 신도안면 지역 이용 정보 | 계룡 생활권·위치 안내 | 몽라운지"
"TITLE_TEMPLATE","25","지역SEO","22","loc 생활권 안내 x x 인접 지역 loc 정보 brand","massage/부계면-출장마사지-대구-군위군-생활권-지역정보-이용안내/index.html || 부계면 생활권 안내 | 대구 군위군 인접 지역·이동 정보 | 몽라운지","massage/구지면-출장마사지-대구-달성군-생활권-지역정보-이용안내/index.html || 구지면 생활권 안내 | 대구 달성군 인접 지역·이동 정보 | 몽라운지","massage/하빈면-출장마사지-대구-달성군-생활권-지역정보-이용안내/index.html || 하빈면 생활권 안내 | 대구 달성군 인접 지역·이동 정보 | 몽라운지"
"TITLE_TEMPLATE","26","지역SEO","22","loc 생활권 안내 x 인접 지역 loc 정보 brand","massage/설성면-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 설성면 생활권 안내 | 이천시 인접 지역·이동 정보 | 몽라운지","massage/월롱면-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 월롱면 생활권 안내 | 파주시 인접 지역·이동 정보 | 몽라운지","massage/조리읍-출장마사지-파주시-생활권-지역정보-이용안내/index.html || 조리읍 생활권 안내 | 파주시 인접 지역·이동 정보 | 몽라운지"
"TITLE_TEMPLATE","27","지역SEO","22","x loc kw x 생활권 지역 안내 brand","massage/gyeonggi/goyang/deogyang-gu/고양시-덕양구-출장마사지-동별-생활권-지역안내/index.html || 고양시 덕양구 출장마사지 | 동별 생활권·지역 안내 | 몽라운지","massage/gyeonggi/ansan/danwon-gu/안산시-단원구-출장마사지-동별-생활권-지역안내/index.html || 안산시 단원구 출장마사지 | 동별 생활권·지역 안내 | 몽라운지","massage/gyeonggi/ansan/sangnok-gu/안산시-상록구-출장마사지-동별-생활권-지역안내/index.html || 안산시 상록구 출장마사지 | 동별 생활권·지역 안내 | 몽라운지"
"TITLE_TEMPLATE","28","지역SEO","22","loc 생활권 안내 인천 loc 생활권 지역 이용 안내 brand","massage/검단동-출장마사지-검단구-생활권-이동동선-지역정보-이용전-안내/index.html || 검단동 생활권 안내 | 인천 검단구 생활권·지역 이용 안내 | 몽라운지","massage/당하동-출장마사지-검단구-생활권-이동동선-지역정보-이용전-안내/index.html || 당하동 생활권 안내 | 인천 검단구 생활권·지역 이용 안내 | 몽라운지","massage/아라동-출장마사지-검단구-생활권-이동동선-지역정보-이용전-안내/index.html || 아라동 생활권 안내 | 인천 검단구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","29","지역SEO","21","loc 지역 이용 안내 x 생활권 지역 이용 안내 brand","massage/도담동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 도담동 지역 이용 안내 | 세종 생활권·지역 이용 안내 | 몽라운지","massage/보람동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 보람동 지역 이용 안내 | 세종 생활권·지역 이용 안내 | 몽라운지","massage/소담동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 소담동 지역 이용 안내 | 세종 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","30","지역SEO","21","loc 생활권 안내 x 생활권 지역 이용 안내 brand","massage/고운동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 고운동 생활권 안내 | 세종 생활권·지역 이용 안내 | 몽라운지","massage/나성동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 나성동 생활권 안내 | 세종 생활권·지역 이용 안내 | 몽라운지","massage/다정동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 다정동 생활권 안내 | 세종 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","31","지역SEO","18","loc kw 인천 loc 생활권 지역 이용 안내 brand","massage/효성동-출장마사지-계양구-생활권-이동동선-지역정보-이용전-안내/index.html || 효성동 출장마사지 | 인천 계양구 생활권·지역 이용 안내 | 몽라운지","massage/논현동-출장마사지-남동구-생활권-이동동선-지역정보-이용전-안내/index.html || 논현동 출장마사지 | 인천 남동구 생활권·지역 이용 안내 | 몽라운지","massage/서창동-출장마사지-남동구-생활권-이동동선-지역정보-이용전-안내/index.html || 서창동 출장마사지 | 인천 남동구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","32","지역SEO","18","x kw x 생활권 인접 지역 안내 brand","massage/엄사면-출장마사지-계룡-생활권-지역정보-이용안내/index.html || 엄사면 출장마사지 | 계룡 생활권·인접 지역 안내 | 몽라운지","massage/계룡면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 계룡면 출장마사지 | 공주 생활권·인접 지역 안내 | 몽라운지","massage/사곡면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 사곡면 출장마사지 | 공주 생활권·인접 지역 안내 | 몽라운지"
"TITLE_TEMPLATE","33","지역SEO","18","x x kw 동별 생활권 지역 안내 brand","massage/other/daejeon/daedeok-gu/대전-대덕구-출장마사지-동별-생활권-지역안내/index.html || 대전 대덕구 출장마사지 | 동별 생활권·지역 안내 | 몽라운지","massage/other/daejeon/yuseong-gu/대전-유성구-출장마사지-동별-생활권-지역안내/index.html || 대전 유성구 출장마사지 | 동별 생활권·지역 안내 | 몽라운지","massage/other/cheongju/sangdang-gu/청주-상당구-출장마사지-동별-생활권-지역안내/index.html || 청주 상당구 출장마사지 | 동별 생활권·지역 안내 | 몽라운지"
"TITLE_TEMPLATE","34","지역SEO","17","loc 생활권 안내 광주 x 생활권 지역 이용 안내 brand","massage/금호동-출장마사지-광주-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 금호동 생활권 안내 | 광주 서구 생활권·지역 이용 안내 | 몽라운지","massage/농성동-출장마사지-광주-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 농성동 생활권 안내 | 광주 서구 생활권·지역 이용 안내 | 몽라운지","massage/동림동-출장마사지-광주-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 동림동 생활권 안내 | 광주 북구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","35","지역SEO","17","loc 지역 이용 안내 loc x 생활권 지역 이용 안내 brand","massage/검단동-출장마사지-대구-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 검단동 지역 이용 안내 | 대구 북구 생활권·지역 이용 안내 | 몽라운지","massage/고성동-출장마사지-대구-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 고성동 지역 이용 안내 | 대구 북구 생활권·지역 이용 안내 | 몽라운지","massage/공산동-출장마사지-대구-동구-생활권-이동동선-지역정보-이용전-안내/index.html || 공산동 지역 이용 안내 | 대구 동구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","36","업체상세","16","x 김해 x 이용 안내","shops/other/gimhae/내외동/경남테라피/index.html || 경남테라피 | 김해 내외동 이용 안내","shops/other/gimhae/대동면/경남테라피/index.html || 경남테라피 | 김해 대동면 이용 안내","shops/other/gimhae/동상동/경남테라피/index.html || 경남테라피 | 김해 동상동 이용 안내"
"TITLE_TEMPLATE","37","지역SEO","16","loc 지역 이용 안내 광주 x 생활권 지역 이용 안내 brand","massage/건국동-출장마사지-광주-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 건국동 지역 이용 안내 | 광주 북구 생활권·지역 이용 안내 | 몽라운지","massage/계림동-출장마사지-광주-동구-생활권-이동동선-지역정보-이용전-안내/index.html || 계림동 지역 이용 안내 | 광주 동구 생활권·지역 이용 안내 | 몽라운지","massage/광천동-출장마사지-광주-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 광천동 지역 이용 안내 | 광주 서구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","38","업체상세","16","x 공주 x 이용 안내","shops/other/gongju/계룡면/S썸바디테라피/index.html || S썸바디테라피 | 공주 계룡면 이용 안내","shops/other/gongju/금학동/S썸바디테라피/index.html || S썸바디테라피 | 공주 금학동 이용 안내","shops/other/gongju/반포면/S썸바디테라피/index.html || S썸바디테라피 | 공주 반포면 이용 안내"
"TITLE_TEMPLATE","39","지역SEO","15","loc kw x 생활권 지역 이용 안내 brand","massage/종촌동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 종촌동 출장마사지 | 세종 생활권·지역 이용 안내 | 몽라운지","massage/집현동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 집현동 출장마사지 | 세종 생활권·지역 이용 안내 | 몽라운지","massage/한솔동-출장마사지-세종-생활권-이동동선-지역정보-이용전-안내/index.html || 한솔동 출장마사지 | 세종 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","40","지역SEO","15","loc kw x x 생활권 인접 지역 안내 brand","massage/소보면-출장마사지-대구-군위군-생활권-지역정보-이용안내/index.html || 소보면 출장마사지 | 대구 군위군 생활권·인접 지역 안내 | 몽라운지","massage/우보면-출장마사지-대구-군위군-생활권-지역정보-이용안내/index.html || 우보면 출장마사지 | 대구 군위군 생활권·인접 지역 안내 | 몽라운지","massage/의흥면-출장마사지-대구-군위군-생활권-지역정보-이용안내/index.html || 의흥면 출장마사지 | 대구 군위군 생활권·인접 지역 안내 | 몽라운지"
"TITLE_TEMPLATE","41","지역SEO","15","loc 지역 이용 안내 인천 loc 생활권 지역 이용 안내 brand","massage/마전동-출장마사지-검단구-생활권-이동동선-지역정보-이용전-안내/index.html || 마전동 지역 이용 안내 | 인천 검단구 생활권·지역 이용 안내 | 몽라운지","massage/계산동-출장마사지-계양구-생활권-이동동선-지역정보-이용전-안내/index.html || 계산동 지역 이용 안내 | 인천 계양구 생활권·지역 이용 안내 | 몽라운지","massage/구월동-출장마사지-남동구-생활권-이동동선-지역정보-이용전-안내/index.html || 구월동 지역 이용 안내 | 인천 남동구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","42","지역SEO","15","loc kw 광주 x 생활권 지역 이용 안내 brand","massage/대촌동-출장마사지-광주-남구-생활권-이동동선-지역정보-이용전-안내/index.html || 대촌동 출장마사지 | 광주 남구 생활권·지역 이용 안내 | 몽라운지","massage/동천동-출장마사지-광주-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 동천동 출장마사지 | 광주 서구 생활권·지역 이용 안내 | 몽라운지","massage/백운동-출장마사지-광주-남구-생활권-이동동선-지역정보-이용전-안내/index.html || 백운동 출장마사지 | 광주 남구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","43","지역SEO","14","loc 지역 이용 안내 대전 x 생활권 지역 이용 안내 brand","massage/가양동-출장마사지-대전-동구-생활권-이동동선-지역정보-이용전-안내/index.html || 가양동 지역 이용 안내 | 대전 동구 생활권·지역 이용 안내 | 몽라운지","massage/가장동-출장마사지-대전-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 가장동 지역 이용 안내 | 대전 서구 생활권·지역 이용 안내 | 몽라운지","massage/괴정동-출장마사지-대전-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 괴정동 지역 이용 안내 | 대전 서구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","44","지역SEO","14","x 생활권 안내 x 인접 지역 loc 정보 brand","massage/장호원읍-출장마사지-이천시-생활권-지역정보-이용안내/index.html || 장호원읍 생활권 안내 | 이천시 인접 지역·이동 정보 | 몽라운지","massage/이인면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 이인면 생활권 안내 | 공주 인접 지역·이동 정보 | 몽라운지","massage/정안면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 정안면 생활권 안내 | 공주 인접 지역·이동 정보 | 몽라운지"
"TITLE_TEMPLATE","45","지역SEO","13","loc 생활권 안내 대전 x 생활권 지역 이용 안내 brand","massage/대사동-출장마사지-대전-중구-생활권-이동동선-지역정보-이용전-안내/index.html || 대사동 생활권 안내 | 대전 중구 생활권·지역 이용 안내 | 몽라운지","massage/대흥동-출장마사지-대전-중구-생활권-이동동선-지역정보-이용전-안내/index.html || 대흥동 생활권 안내 | 대전 중구 생활권·지역 이용 안내 | 몽라운지","massage/복수동-출장마사지-대전-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 복수동 생활권 안내 | 대전 서구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","46","지역SEO","13","loc kw loc x 생활권 지역 이용 안내 brand","massage/관음동-출장마사지-대구-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 관음동 출장마사지 | 대구 북구 생활권·지역 이용 안내 | 몽라운지","massage/구암동-출장마사지-대구-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 구암동 출장마사지 | 대구 북구 생활권·지역 이용 안내 | 몽라운지","massage/노원동-출장마사지-대구-북구-생활권-이동동선-지역정보-이용전-안내/index.html || 노원동 출장마사지 | 대구 북구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","47","지역SEO","13","x x loc 지역 안내 kw 이용 범위 생활권 정보 brand","massage/산성면-출장마사지-대구-군위군-생활권-지역정보-이용안내/index.html || 대구 군위군 산성면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지","massage/효령면-출장마사지-대구-군위군-생활권-지역정보-이용안내/index.html || 대구 군위군 효령면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지","massage/가창면-출장마사지-대구-달성군-생활권-지역정보-이용안내/index.html || 대구 달성군 가창면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지"
"TITLE_TEMPLATE","48","업체상세","12","x loc loc loc 이용 안내","shops/gyeonggi/bucheon/sosa-gu/소사본동/한국미인테라피/index.html || 한국미인테라피 | 부천시-소사구 소사본동 이용 안내","shops/gyeonggi/bucheon/sosa-gu/소사본동/너무이쁜테라피/index.html || 너무이쁜테라피 | 부천시-소사구 소사본동 이용 안내","shops/gyeonggi/bucheon/sosa-gu/소사본동/love테라피/index.html || love테라피 | 부천시-소사구 소사본동 이용 안내"
"TITLE_TEMPLATE","49","지역SEO","12","loc kw 대전 x 생활권 지역 이용 안내 brand","massage/가수원동-출장마사지-대전-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 가수원동 출장마사지 | 대전 서구 생활권·지역 이용 안내 | 몽라운지","massage/갈마동-출장마사지-대전-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 갈마동 출장마사지 | 대전 서구 생활권·지역 이용 안내 | 몽라운지","massage/관저동-출장마사지-대전-서구-생활권-이동동선-지역정보-이용전-안내/index.html || 관저동 출장마사지 | 대전 서구 생활권·지역 이용 안내 | 몽라운지"
