"광역지역","지역명","종류","깊이","상대경로","페이지폴더"
"경기","고양시","시","2","goyang\고양시-출장마사지-일산-대화-백석-전시-행사와-장시간-보행-일정-다리-어깨-피로-방문-홈케어","고양시-출장마사지-일산-대화-백석-전시-행사와-장시간-보행-일정-다리-어깨-피로-방문-홈케어"
"경기","군포시","시","2","gunpo\군포시-출장마사지-산본-금정-당동-지하철-통근과-장시간-보행-다리-허리-피로-방문-홈케어","군포시-출장마사지-산본-금정-당동-지하철-통근과-장시간-보행-다리-허리-피로-방문-홈케어"
"경기","구리시","시","2","guri\구리시-출장마사지-인창-갈매-수택-서울-통근과-생활-이동이-긴-날-목-허리-피로-방문-홈케어","구리시-출장마사지-인창-갈매-수택-서울-통근과-생활-이동이-긴-날-목-허리-피로-방문-홈케어"
"경기","과천시","시","2","gwacheon\과천시-출장마사지-중앙-별양-정부과천청사-오피스-통근과-회의-일정-목-어깨-피로-방문-홈케어","과천시-출장마사지-중앙-별양-정부과천청사-오피스-통근과-회의-일정-목-어깨-피로-방문-홈케어"
"경기","광주시","시","2","gwangju-gyeonggi\광주시-출장마사지-태전-경안-곤지암-차량-이동과-생활권-이동이-긴-날-허리-어깨-피로-방문-홈케어","광주시-출장마사지-태전-경안-곤지암-차량-이동과-생활권-이동이-긴-날-허리-어깨-피로-방문-홈케어"
"경기","광명시","시","2","gwangmyeong\광명시-출장마사지-광명역-철산-하안-출장과-광역-이동이-겹친-날-다리-허리-피로-방문-홈케어","광명시-출장마사지-광명역-철산-하안-출장과-광역-이동이-겹친-날-다리-허리-피로-방문-홈케어"
"경기","하남시","시","2","hanam\하남시-출장마사지-미사-감일-덕풍-신도시-생활과-집안-정리-일정-어깨-허리-피로-방문-홈케어","하남시-출장마사지-미사-감일-덕풍-신도시-생활과-집안-정리-일정-어깨-허리-피로-방문-홈케어"
"경기","화성시-병점구","구","3","hwaseong\byeongjeom-gu\화성시-병점구-출장마사지-동별-생활권-지역안내","화성시-병점구-출장마사지-동별-생활권-지역안내"
"경기","화성시-동탄구","구","3","hwaseong\dongtan-gu\화성시-동탄구-출장마사지-동별-생활권-지역안내","화성시-동탄구-출장마사지-동별-생활권-지역안내"
"경기","화성시-효행구","구","3","hwaseong\hyohaeng-gu\화성시-효행구-출장마사지-동별-생활권-지역안내","화성시-효행구-출장마사지-동별-생활권-지역안내"
"경기","화성시-만세구","구","3","hwaseong\manse-gu\화성시-만세구-출장마사지-동별-생활권-지역안내","화성시-만세구-출장마사지-동별-생활권-지역안내"
"경기","화성시","시","2","hwaseong\화성시-출장마사지-동탄-병점-향남-신도시-생활과-가족-일정-어깨-허리-피로-방문-홈케어","화성시-출장마사지-동탄-병점-향남-신도시-생활과-가족-일정-어깨-허리-피로-방문-홈케어"
"경기","이천시","시","2","icheon\이천시-출장마사지-창전-부발-증포-물류-산업-업무와-장시간-이동-어깨-허리-피로-방문-홈케어","이천시-출장마사지-창전-부발-증포-물류-산업-업무와-장시간-이동-어깨-허리-피로-방문-홈케어"
"경기","남양주시","시","2","namyangju\남양주시-출장마사지-다산-별내-진접-차량-이동과-외곽-통근이-긴-날-허리-다리-피로-방문-홈케어","남양주시-출장마사지-다산-별내-진접-차량-이동과-외곽-통근이-긴-날-허리-다리-피로-방문-홈케어"
"경기","오산시","시","2","osan\오산시-출장마사지-세교-오산역-원동-출퇴근과-환승-이동이-길어진-날-목-다리-피로-방문-홈케어","오산시-출장마사지-세교-오산역-원동-출퇴근과-환승-이동이-길어진-날-목-다리-피로-방문-홈케어"
"경기","파주시","시","2","paju\파주시-출장마사지-운정-금촌-문산-차량-통근과-장시간-운전-허리-어깨-피로-방문-홈케어","파주시-출장마사지-운정-금촌-문산-차량-통근과-장시간-운전-허리-어깨-피로-방문-홈케어"
"경기","포천시","시","2","pocheon\포천시-출장마사지-소흘-송우리-포천동-장거리-차량-이동과-현장-일정-허리-어깨-피로-방문-홈케어","포천시-출장마사지-소흘-송우리-포천동-장거리-차량-이동과-현장-일정-허리-어깨-피로-방문-홈케어"
"경기","평택시","시","2","pyeongtaek\평택시-출장마사지-고덕-송탄-평택역-교대-근무와-장시간-이동-다리-어깨-피로-방문-홈케어","평택시-출장마사지-고덕-송탄-평택역-교대-근무와-장시간-이동-다리-어깨-피로-방문-홈케어"
"경기","성남시-분당구","구","3","seongnam\bundang-gu\성남시-분당구-출장마사지-동별-생활권-지역안내","성남시-분당구-출장마사지-동별-생활권-지역안내"
"경기","성남시-중원구","구","3","seongnam\jungwon-gu\성남시-중원구-출장마사지-동별-생활권-지역안내","성남시-중원구-출장마사지-동별-생활권-지역안내"
"경기","성남시-수정구","구","3","seongnam\sujeong-gu\성남시-수정구-출장마사지-동별-생활권-지역안내","성남시-수정구-출장마사지-동별-생활권-지역안내"
"경기","성남시","시","2","seongnam\성남시-출장마사지-판교-정자-야탑-IT-오피스-업무와-긴-화면-작업-목-손목의-뻐근함-방문-홈케어","성남시-출장마사지-판교-정자-야탑-IT-오피스-업무와-긴-화면-작업-목-손목의-뻐근함-방문-홈케어"
"경기","시흥시","시","2","siheung\시흥시-출장마사지-배곧-정왕-은계-산업-상업-업무로-오래-선-날-다리-발의-무거움-방문-홈케어","시흥시-출장마사지-배곧-정왕-은계-산업-상업-업무로-오래-선-날-다리-발의-무거움-방문-홈케어"
"경기","수원시-권선구","구","3","suwon\gwonseon-gu\수원시-권선구-출장마사지-동별-생활권-지역안내","수원시-권선구-출장마사지-동별-생활권-지역안내"
"경기","수원시-장안구","구","3","suwon\jangan-gu\수원시-장안구-출장마사지-동별-생활권-지역안내","수원시-장안구-출장마사지-동별-생활권-지역안내"
"경기","수원시-팔달구","구","3","suwon\paldal-gu\수원시-팔달구-출장마사지-동별-생활권-지역안내","수원시-팔달구-출장마사지-동별-생활권-지역안내"
"경기","수원시-영통구","구","3","suwon\yeongtong-gu\수원시-영통구-출장마사지-동별-생활권-지역안내","수원시-영통구-출장마사지-동별-생활권-지역안내"
"경기","수원시","시","2","suwon\수원시-출장마사지-광교-인계-수원역-출퇴근과-상권-이동이-길어진-날-어깨-허리-피로-방문-홈케어","수원시-출장마사지-광교-인계-수원역-출퇴근과-상권-이동이-길어진-날-어깨-허리-피로-방문-홈케어"
"경기","의정부시","시","2","uijeongbu\의정부시-출장마사지-민락-회룡-의정부역-통근과-생활-이동이-겹친-날-허리-다리-피로-방문-홈케어","의정부시-출장마사지-민락-회룡-의정부역-통근과-생활-이동이-겹친-날-허리-다리-피로-방문-홈케어"
"경기","의왕시","시","2","uiwang\의왕시-출장마사지-내손-포일-오전-오피스-통근과-장시간-앉은-업무-목-허리-피로-방문-홈케어","의왕시-출장마사지-내손-포일-오전-오피스-통근과-장시간-앉은-업무-목-허리-피로-방문-홈케어"
"경기","양주시","시","2","yangju\양주시-출장마사지-옥정-덕계-회천-가족-일정과-차량-이동이-겹친-날-허리-다리-피로-방문-홈케어","양주시-출장마사지-옥정-덕계-회천-가족-일정과-차량-이동이-겹친-날-허리-다리-피로-방문-홈케어"
"경기","양평군","군","2","yangpyeong\양평군-출장마사지-양평읍-용문-양서-주말-차량-이동과-외출-일정-허리-다리-피로-방문-홈케어","양평군-출장마사지-양평읍-용문-양서-주말-차량-이동과-외출-일정-허리-다리-피로-방문-홈케어"
"경기","여주시","시","2","yeoju\여주시-출장마사지-오학-홍문-여주역-쇼핑-업무와-차량-이동이-겹친-날-다리-허리-피로-방문-홈케어","여주시-출장마사지-오학-홍문-여주역-쇼핑-업무와-차량-이동이-겹친-날-다리-허리-피로-방문-홈케어"
"경기","연천군","군","2","yeoncheon\연천군-출장마사지-전곡-연천읍-청산-장거리-운전과-외곽-이동-허리-다리-피로-방문-홈케어","연천군-출장마사지-전곡-연천읍-청산-장거리-운전과-외곽-이동-허리-다리-피로-방문-홈케어"
"경기","용인시-처인구","구","3","yongin\cheoin-gu\용인시-처인구-출장마사지-동별-생활권-지역안내","용인시-처인구-출장마사지-동별-생활권-지역안내"
"경기","용인시-기흥구","구","3","yongin\giheung-gu\용인시-기흥구-출장마사지-동별-생활권-지역안내","용인시-기흥구-출장마사지-동별-생활권-지역안내"
"경기","용인시-수지구","구","3","yongin\suji-gu\용인시-수지구-출장마사지-동별-생활권-지역안내","용인시-수지구-출장마사지-동별-생활권-지역안내"
"경기","용인시","시","2","yongin\용인시-출장마사지-죽전-기흥-수지-긴-통근과-차량-이동이-겹친-날-허리-다리-피로-방문-홈케어","용인시-출장마사지-죽전-기흥-수지-긴-통근과-차량-이동이-겹친-날-허리-다리-피로-방문-홈케어"
"서울","도봉구","구","2","dobong-gu\도봉구-출장마사지-방학-도봉-창동-생활-이동과-집안일이-겹친-날-허리-무릎-주변-피로-방문-홈케어","도봉구-출장마사지-방학-도봉-창동-생활-이동과-집안일이-겹친-날-허리-무릎-주변-피로-방문-홈케어"
"서울","동대문구","구","2","dongdaemun-gu\동대문구-출장마사지-회기-이문-청량리-공부-연구가-길어진-날-목-어깨의-긴장감-방문-홈케어","동대문구-출장마사지-회기-이문-청량리-공부-연구가-길어진-날-목-어깨의-긴장감-방문-홈케어"
"서울","동작구","구","2","dongjak-gu\동작구-출장마사지-상도-흑석-사당-긴-통근과-계단-이동이-이어진-날-허리-골반-주변-피로-방문-홈케어","동작구-출장마사지-상도-흑석-사당-긴-통근과-계단-이동이-이어진-날-허리-골반-주변-피로-방문-홈케어"
"서울","은평구","구","2","eunpyeong-gu\은평구-출장마사지-응암-역촌-불광-생활-이동과-장보기-일정-허리-어깨-피로-방문-홈케어","은평구-출장마사지-응암-역촌-불광-생활-이동과-장보기-일정-허리-어깨-피로-방문-홈케어"
"서울","강북구","구","2","gangbuk-gu\강북구-출장마사지-미아사거리-수유-번동-판매-미용-업무로-오래-서-있는-날-종아리-발-손목-피로-방문-홈케어","강북구-출장마사지-미아사거리-수유-번동-판매-미용-업무로-오래-서-있는-날-종아리-발-손목-피로-방문-홈케어"
"서울","강동구","구","2","gangdong-gu\강동구-출장마사지-둔촌-올림픽공원-일자산-입주-이사와-장시간-정리-전신-뭉침과-무거움-방문-홈케어","강동구-출장마사지-둔촌-올림픽공원-일자산-입주-이사와-장시간-정리-전신-뭉침과-무거움-방문-홈케어"
"서울","강남구","구","2","gangnam-gu\강남구-출장마사지-압구정-청담-역삼-외출-미팅-일정이-길어진-날-목-어깨의-뻐근함-방문-홈케어","강남구-출장마사지-압구정-청담-역삼-외출-미팅-일정이-길어진-날-목-어깨의-뻐근함-방문-홈케어"
"서울","강서구","구","2","gangseo-gu\강서구-출장마사지-가양-등촌-마곡-육아와-집안일이-길어진-날-어깨-손목-허리-피로-방문-홈케어","강서구-출장마사지-가양-등촌-마곡-육아와-집안일이-길어진-날-어깨-손목-허리-피로-방문-홈케어"
"서울","금천구","구","2","geumcheon-gu\금천구-출장마사지-독산-시흥-가산-제조-교대-일정이-길어진-날-허리-어깨-피로-방문-홈케어","금천구-출장마사지-독산-시흥-가산-제조-교대-일정이-길어진-날-허리-어깨-피로-방문-홈케어"
"서울","구로구","구","2","guro-gu\구로구-출장마사지-신도림-구로-대림-유통-판매-업무로-오래-선-날-다리-발의-무거움-방문-홈케어","구로구-출장마사지-신도림-구로-대림-유통-판매-업무로-오래-선-날-다리-발의-무거움-방문-홈케어"
"서울","관악구","구","2","gwanak-gu\관악구-출장마사지-서울대입구-샤로수길-신림-프리랜서-작업과-창업-일정-눈-목-어깨-피로-방문-홈케어","관악구-출장마사지-서울대입구-샤로수길-신림-프리랜서-작업과-창업-일정-눈-목-어깨-피로-방문-홈케어"
"서울","광진구","구","2","gwangjin-gu\광진구-출장마사지-구의-광나루-건대입구-재택업무와-장시간-화면-작업-목-손목의-뻐근함-방문-홈케어","광진구-출장마사지-구의-광나루-건대입구-재택업무와-장시간-화면-작업-목-손목의-뻐근함-방문-홈케어"
"서울","종로구","구","2","jongno-gu\종로구-출장마사지-혜화-대학로-종로5가-공연-관람-뒤-오래-걷는-일정-다리-발의-무거움-방문-홈케어","종로구-출장마사지-혜화-대학로-종로5가-공연-관람-뒤-오래-걷는-일정-다리-발의-무거움-방문-홈케어"
"서울","중구","구","2","jung-gu\중구-출장마사지-신당-동대문시장-을지로-야간-영업과-장시간-서-있는-일정-다리-허리-피로-방문-홈케어","중구-출장마사지-신당-동대문시장-을지로-야간-영업과-장시간-서-있는-일정-다리-허리-피로-방문-홈케어"
"서울","중랑구","구","2","jungnang-gu\중랑구-출장마사지-사가정-중화-면목-매장-운영과-반복적인-손-사용-손목-허리-피로-방문-홈케어","중랑구-출장마사지-사가정-중화-면목-매장-운영과-반복적인-손-사용-손목-허리-피로-방문-홈케어"
"서울","마포구","구","2","mapo-gu\마포구-출장마사지-공덕-연남-합정-오피스-근무와-프리랜서-일정-어깨-허리-피로-방문-홈케어","마포구-출장마사지-공덕-연남-합정-오피스-근무와-프리랜서-일정-어깨-허리-피로-방문-홈케어"
"서울","노원구","구","2","nowon-gu\노원구-출장마사지-상계-공릉-중계-육아와-집안일이-이어진-날-어깨-손목의-무거움-방문-홈케어","노원구-출장마사지-상계-공릉-중계-육아와-집안일이-이어진-날-어깨-손목의-무거움-방문-홈케어"
"서울","서초구","구","2","seocho-gu\서초구-출장마사지-양재-서초-강남대로-야근과-회의가-길어진-날-목-어깨-눈의-피로-방문-홈케어","서초구-출장마사지-양재-서초-강남대로-야근과-회의가-길어진-날-목-어깨-눈의-피로-방문-홈케어"
"서울","서대문구","구","2","seodaemun-gu\서대문구-출장마사지-홍제-북가좌-연희-집안일과-외출이-겹친-하루-어깨-허리-뻐근함-방문-홈케어","서대문구-출장마사지-홍제-북가좌-연희-집안일과-외출이-겹친-하루-어깨-허리-뻐근함-방문-홈케어"
"서울","성북구","구","2","seongbuk-gu\성북구-출장마사지-정릉-돈암-길음-집안일과-일상-활동이-길어진-날-어깨-목의-뻐근함-방문-홈케어","성북구-출장마사지-정릉-돈암-길음-집안일과-일상-활동이-길어진-날-어깨-목의-뻐근함-방문-홈케어"
"서울","성동구","구","2","seongdong-gu\성동구-출장마사지-왕십리-행당-성수-통근과-약속이-이어진-하루-전신-피로-방문-홈케어","성동구-출장마사지-왕십리-행당-성수-통근과-약속이-이어진-하루-전신-피로-방문-홈케어"
"서울","송파구","구","2","songpa-gu\송파구-출장마사지-문정-법조타운-잠실-야근과-장시간-화면-업무-어깨-목-눈의-피로-방문-홈케어","송파구-출장마사지-문정-법조타운-잠실-야근과-장시간-화면-업무-어깨-목-눈의-피로-방문-홈케어"
"서울","양천구","구","2","yangcheon-gu\양천구-출장마사지-신정-신월-목동-강의와-장시간-발성이-이어진-날-목-어깨의-뻐근함-방문-홈케어","양천구-출장마사지-신정-신월-목동-강의와-장시간-발성이-이어진-날-목-어깨의-뻐근함-방문-홈케어"
"서울","영등포구","구","2","yeongdeungpo-gu\영등포구-출장마사지-문래-영등포-여의도-판매-제조-오피스-일정이-겹친-날-다리-손목-피로-방문-홈케어","영등포구-출장마사지-문래-영등포-여의도-판매-제조-오피스-일정이-겹친-날-다리-손목-피로-방문-홈케어"
"서울","용산구","구","2","yongsan-gu\용산구-출장마사지-이촌-한강로-신용산-주거와-오피스를-오가는-긴-하루-어깨-허리-뻐근함-방문-홈케어","용산구-출장마사지-이촌-한강로-신용산-주거와-오피스를-오가는-긴-하루-어깨-허리-뻐근함-방문-홈케어"
"인천","부평구","구","2","bupyeong-gu\부평구-출장마사지-부평-삼산-갈산-쇼핑-서비스-업무로-오래-선-날-다리-손목-피로-방문-홈케어","부평구-출장마사지-부평-삼산-갈산-쇼핑-서비스-업무로-오래-선-날-다리-손목-피로-방문-홈케어"
"인천","강화군","군","2","ganghwa-gun\강화군-출장마사지-강화읍-길상-불은-당일-여행과-차량-이동이-길어진-날-다리-허리-피로-방문-홈케어","강화군-출장마사지-강화읍-길상-불은-당일-여행과-차량-이동이-길어진-날-다리-허리-피로-방문-홈케어"
"인천","검단구","구","2","geomdan-gu\검단구-출장마사지-검단신도시-원당-불로-입주-이사와-신도시-정리-일정-어깨-허리-피로-방문-홈케어","검단구-출장마사지-검단신도시-원당-불로-입주-이사와-신도시-정리-일정-어깨-허리-피로-방문-홈케어"
"인천","계양구","구","2","gyeyang-gu\계양구-출장마사지-계산-작전-임학-출퇴근과-환승-이동이-길어진-날-목-허리-피로-방문-홈케어","계양구-출장마사지-계산-작전-임학-출퇴근과-환승-이동이-길어진-날-목-허리-피로-방문-홈케어"
"인천","제물포구","구","2","jemulpo-gu\제물포구-출장마사지-동인천-월미-송현-시장-관광과-장시간-보행-일정-다리-허리-피로-방문-홈케어","제물포구-출장마사지-동인천-월미-송현-시장-관광과-장시간-보행-일정-다리-허리-피로-방문-홈케어"
"인천","미추홀구","구","2","michuhol-gu\미추홀구-출장마사지-주안-용현-도화-통근과-대학가-이동이-길어진-날-목-허리-피로-방문-홈케어","미추홀구-출장마사지-주안-용현-도화-통근과-대학가-이동이-길어진-날-목-허리-피로-방문-홈케어"
"인천","남동구","구","2","namdong-gu\남동구-출장마사지-구월-논현-간석-오피스와-쇼핑-일정이-겹친-날-다리-어깨-피로-방문-홈케어","남동구-출장마사지-구월-논현-간석-오피스와-쇼핑-일정이-겹친-날-다리-어깨-피로-방문-홈케어"
"인천","옹진군","군","2","ongjin-gun\옹진군-출장마사지-영흥-백령-덕적-섬-이동과-숙박-일정이-길어진-날-다리-허리-피로-방문-홈케어","옹진군-출장마사지-영흥-백령-덕적-섬-이동과-숙박-일정이-길어진-날-다리-허리-피로-방문-홈케어"
"인천","서해구","구","2","seohae-gu\서해구-출장마사지-청라-가정-석남-신도시-통근과-가족-일정이-겹친-날-허리-어깨-피로-방문-홈케어","서해구-출장마사지-청라-가정-석남-신도시-통근과-가족-일정이-겹친-날-허리-어깨-피로-방문-홈케어"
"인천","영종구","구","2","yeongjong-gu\영종구-출장마사지-영종-운서-공항신도시-공항-이동과-여행-일정이-이어진-날-다리-허리-피로-방문-홈케어","영종구-출장마사지-영종-운서-공항신도시-공항-이동과-여행-일정이-이어진-날-다리-허리-피로-방문-홈케어"
"인천","연수구","구","2","yeonsu-gu\연수구-출장마사지-송도-연수-동춘-오피스-업무와-국제업무-일정이-길어진-날-목-눈-어깨-피로-방문-홈케어","연수구-출장마사지-송도-연수-동춘-오피스-업무와-국제업무-일정이-길어진-날-목-눈-어깨-피로-방문-홈케어"
